filename,Country,VST,Proficiency_Number,lexical_density_types,lexical_density_tokens,simple_ttr_aw,simple_ttr_cw,maas_ttr_aw,maas_ttr_cw,mattr50_aw,mattr50_cw,msttr50_aw,msttr50_cw,hdd42_aw,hdd42_cw,mtld_original_aw,mtld_original_cw,mtld_ma_bi_aw,mtld_ma_bi_cw,mtld_ma_wrap_aw,mtld_ma_wrap_cw,MLS,MLT,MLC,C_S,VP_T,C_T,DC_C,DC_T,T_S,CT_T,CP_T,CP_C,CN_T,CN_C
W_KOR_PTJ0_257_B2_0.txt,KOR,42,4,0.630252101,0.450413223,0.491735537,0.688073394,0.054248007,0.039113722,0.745284974,0.803333333,0.725,0.78,0.78853841,0.823509668,53.93342981,64.61889251,54.59340959,50.25203855,59.99173554,73.98165138,14.33333333,13.57894737,7.588235294,1.888888889,2.315789474,1.789473684,0.411764706,0.736842105,1.055555556,0.526315789,0.263157895,0.147058824,1.526315789,0.852941176
W_KOR_PTJ0_259_B2_0.txt,KOR,44,4,0.637037037,0.468992248,0.523255814,0.710743802,0.048364909,0.034183286,0.807464115,0.823611111,0.808,0.8,0.815818154,0.843155527,79.26018809,121,86.52181373,101.65,83.36434109,99.33884298,18.4,13.8,8.625,2.133333333,2.3,1.6,0.40625,0.65,1.333333333,0.65,0.2,0.125,1.6,1
W_KOR_PTJ0_274_B2_0.txt,KOR,43,4,0.572727273,0.475,0.392857143,0.473684211,0.067756493,0.071941782,0.733766234,0.661428571,0.732,0.63,0.757617043,0.680403418,48.20417633,33.46732026,46.5500382,30.99761905,47.58571429,31.30827068,15.94444444,15.10526316,10.62962963,1.5,2.631578947,1.421052632,0.333333333,0.473684211,1.055555556,0.421052632,0.421052632,0.296296296,1.789473684,1.259259259
W_KOR_PTJ0_282_B2_0.txt,KOR,40,4,0.592592593,0.454545455,0.392727273,0.512,0.068216046,0.066119616,0.745663717,0.683947368,0.74,0.7,0.75644348,0.703119986,50.81218274,33.31663327,49.85398782,36.71601529,48.61090909,35.576,25.81818182,20.28571429,9.161290323,2.818181818,3.357142857,2.214285714,0.516129032,1.142857143,1.272727273,0.714285714,0.285714286,0.129032258,2.714285714,1.225806452
W_KOR_PTJ0_285_B2_0.txt,KOR,46,4,0.566037736,0.451162791,0.493023256,0.618556701,0.056455404,0.052851948,0.758433735,0.739583333,0.74,0.8,0.783533344,0.752518899,64.85424588,53.40449438,54.86315789,45.80320513,54.10232558,42.2371134,18.5,17.07692308,8.88,2.083333333,2.692307692,1.923076923,0.48,0.923076923,1.083333333,0.538461538,0.230769231,0.12,1.769230769,0.92
W_KOR_PTJ0_287_B2_0.txt,KOR,32,4,0.597826087,0.491304348,0.4,0.486725664,0.071344074,0.074188856,0.693370166,0.6059375,0.705,0.62,0.755226499,0.695024195,42.93333333,28.25,38.4461027,23.05031915,38.25652174,23.32743363,12.2,11.61904762,9.76,1.25,1.714285714,1.19047619,0.2,0.238095238,1.05,0.142857143,0.380952381,0.32,1.380952381,1.16
W_THA_PTJ0_006_B1_2.txt,THA,43,3,0.701030928,0.56744186,0.451162791,0.557377049,0.063538534,0.05831769,0.760240964,0.730136986,0.745,0.72,0.767144063,0.741296315,43.75591616,42.17283951,53.58130643,35.92626263,51.16744186,40.01639344,15.85714286,15.85714286,8.538461538,1.857142857,2.571428571,1.857142857,0.346153846,0.642857143,1,0.5,0.357142857,0.192307692,1.785714286,0.961538462
W_THA_PTJ0_012_A2_0.txt,THA,14,1,0.611650485,0.512690355,0.52284264,0.623762376,0.053495104,0.051024472,0.741486486,0.739230769,0.74,0.73,0.77386217,0.767390313,58.46637427,50.5,52.83522727,49.37594268,56.5786802,55.69306931,10.05,13.4,11.16666667,0.9,2.066666667,1.2,0.277777778,0.333333333,0.75,0.133333333,0.4,0.333333333,1.733333333,1.444444444
W_THA_PTJ0_013_A2_0.txt,THA,22,1,0.602272727,0.44549763,0.417061611,0.563829787,0.070303493,0.0639191,0.698518519,0.657777778,0.705,0.6,0.745599471,0.699558645,46.58761682,31.33333333,45.27575758,29.54179567,48.95260664,30.95744681,27.5,20,8.148148148,3.375,2.909090909,2.454545455,0.518518519,1.272727273,1.375,0.909090909,0.272727273,0.111111111,2.545454545,1.037037037
W_THA_PTJ0_015_B1_2.txt,THA,45,3,0.616071429,0.530172414,0.482758621,0.56097561,0.056521861,0.057480099,0.724262295,0.655405405,0.73,0.66,0.786189509,0.71131238,52.38709677,32.08695652,45.91538462,26.05449173,46.36206897,28.2601626,14.5625,13.70588235,9.708333333,1.5,2.411764706,1.411764706,0.291666667,0.411764706,1.0625,0.352941176,0.117647059,0.083333333,1.235294118,0.875
W_THA_PTJ0_025_B1_1.txt,THA,30,2,0.626262626,0.475490196,0.485294118,0.639175258,0.058862379,0.049244273,0.744903226,0.763333333,0.745,0.7,0.783691008,0.800340107,60.54385965,49.91262136,50.33790038,53.65865385,52.41666667,53.44329897,9.318181818,8.913043478,7.592592593,1.227272727,1.652173913,1.173913043,0.259259259,0.304347826,1.045454545,0.173913043,0.304347826,0.259259259,0.739130435,0.62962963
W_THA_PTJ0_026_A2_0.txt,THA,11,1,0.655737705,0.467128028,0.422145329,0.592592593,0.061845589,0.050072204,0.68475,0.716744186,0.684,0.65,0.750697873,0.77313185,36.125,38.32344214,35.96654412,34.36273805,38.12110727,44.96296296,19.66666667,17.35294118,10.17241379,1.933333333,3.176470588,1.705882353,0.448275862,0.764705882,1.133333333,0.470588235,0.294117647,0.172413793,2.058823529,1.206896552
W_THA_PTJ0_027_B1_2.txt,THA,36,3,0.614457831,0.469483568,0.389671362,0.51,0.075498057,0.073107456,0.68597561,0.616078431,0.66,0.59,0.717571172,0.677316224,36.57169811,26.92307692,42.26714362,26.10201532,42.15962441,27.12,16,16,8,2,2.428571429,2,0.464285714,0.928571429,1,0.642857143,0.428571429,0.214285714,2.214285714,1.107142857
W_THA_PTJ0_029_B1_2.txt,THA,38,3,0.614583333,0.495238095,0.457142857,0.567307692,0.063038535,0.060510251,0.743602484,0.696,0.74,0.67,0.768897116,0.704852603,46.80173661,34.80773143,50.43868778,35.18721038,50.40952381,34.125,17,14.73333333,7.129032258,2.384615385,2.466666667,2.066666667,0.548387097,1.133333333,1.153846154,0.6,0.133333333,0.064516129,2.266666667,1.096774194
W_THA_PTJ0_031_B1_2.txt,THA,40,3,0.601941748,0.478632479,0.44017094,0.553571429,0.063489571,0.0611594,0.686486486,0.665079365,0.715,0.66,0.777202721,0.732692034,39.70909091,32.74692875,35.77017544,27.46799337,38.92307692,30.76785714,11.9,9.916666667,7,1.7,1.875,1.416666667,0.264705882,0.375,1.2,0.291666667,0.291666667,0.205882353,0.75,0.529411765
W_THA_PTJ0_032_A2_0.txt,THA,23,1,0.525423729,0.423963134,0.543778802,0.673913043,0.048465944,0.044443874,0.787857143,0.723255814,0.805,0.72,0.836056833,0.803111728,89.19395018,57.2173913,67.57974281,30.45045045,77.93548387,54.20652174,20.18181818,14.8,8.88,2.272727273,2.466666667,1.666666667,0.44,0.733333333,1.363636364,0.466666667,0.333333333,0.2,1.266666667,0.76
W_THA_PTJ0_034_B1_2.txt,THA,40,3,0.619565217,0.502347418,0.431924883,0.53271028,0.067251085,0.066411475,0.725487805,0.74,0.7,0.67,0.756069963,0.701479424,44.82436709,35.66666667,46.42874924,39.24354859,44.04225352,35.56074766,23.77777778,19.45454545,8.56,2.777777778,3,2.272727273,0.56,1.272727273,1.222222222,0.636363636,0.545454545,0.24,1.909090909,0.84
W_THA_PTJ0_040_B1_2.txt,THA,45,3,0.648351648,0.517241379,0.448275862,0.561904762,0.06544317,0.061278985,0.726233766,0.681071429,0.73,0.65,0.732981272,0.69863168,45.83870968,31.58203125,47.62486258,33.75280899,46.66502463,33.63809524,13.8,13.8,9.409090909,1.466666667,2.466666667,1.466666667,0.272727273,0.4,1,0.333333333,0.666666667,0.454545455,1.133333333,0.772727273
W_THA_PTJ0_042_A2_0.txt,THA,21,1,0.575,0.433497537,0.39408867,0.522727273,0.075951388,0.074510416,0.670519481,0.611282051,0.68,0.64,0.732478324,0.663368823,40.6,22.60550459,36.33059764,20.71885157,38.33497537,23.39772727,17.33333333,13.86666667,9.904761905,1.75,2.2,1.4,0.238095238,0.333333333,1.25,0.2,0.333333333,0.238095238,1.466666667,1.047619048
